#,名前,メギド/ハルマ,メジャー,ヒント1,ヒント2,ヒント3,正式名称,出典
H14,マテヨエル,ハルマ,TRUE,,,,マテヨエル,10章 マグナ・レギオ 4節 ステージ106
H15,トラエル,ハルマ,,,,,トラエル,アスモデウスRキャラスト
H16,ツタエル,ハルマ,,,,,ツタエル,アスモデウスRキャラスト
H17,カゾエル,ハルマ,,,,,カゾエル,アスモデウスRキャラスト
H18,タネウエル,ハルマ,,,,,タネウエル,10章 マグナ・レギオ 4節 ステージ107
H19,イモフエル,ハルマ,,,,,イモフエル,10章 マグナ・レギオ 4節 ステージ107
H20,ナベニエル,ハルマ,TRUE,,,,ナベニエル,10章 マグナ・レギオ 4節 ステージ107
H21,アタマサエル,ハルマ,,,,,アタマサエル,10章 マグナ・レギオ 4節 ステージ107
H22,ジンジャエル,ハルマ,TRUE,,,,ジンジャエル,10章 マグナ・レギオ 4節 ステージ107
H23,シーゴッドオエル,ハルマ,TRUE,,,,シーゴッドオエル,10章 マグナ・レギオ 4節 ステージ107 (他4)
H24,チャーリーデカエル,ハルマ,TRUE,,,,チャーリーデカエル,10章 マグナ・レギオ 4節 ステージ107
H25,メッシクーエル,ハルマ,,,,,メッシクーエル,10章 マグナ・レギオ 4節 ステージ107 (他1)
H26,フローネルエル,ハルマ,,,,,フローネルエル,10章 マグナ・レギオ 4節 ステージ107
H27,ウテヌエル,ハルマ,,,,,ウテヌエル,10章 マグナ・レギオ 4節 ステージ108
H28,マサカエル,ハルマ,TRUE,,,,マサカエル,11章 激動のメギドラル 1節 ステージ111 (他1)
H29,モーカエル,ハルマ,TRUE,,,,モーカエル,11章 激動のメギドラル 2節 ステージ113 (他4)
H30,マイゴエル,ハルマ,,,,,マイゴエル,11章 激動のメギドラル 2節 ステージ113 (他2)
H31,ツカマエル,ハルマ,,,,,ツカマエル,11章 激動のメギドラル 2節 ステージ113 (他3)
H32,ヨクミエル,ハルマ,,,,,ヨクミエル,12章 そして世界が生まれる 1節 ステージ121 (他2)
H33,イマナライエル,ハルマ,TRUE,,,,イマナライエル,12章 そして世界が生まれる 2節 ステージ124 (他1)
H34,ウタガエル,ハルマ,,,,,ウタガエル,12章 そして世界が生まれる 3節 ステージ127
H35,カンガエル,ハルマ,,,,,カンガエル,12章 そして世界が生まれる 3節 ステージ127
H36,マチガエル,ハルマ,,,,,マチガエル,8魔星モレク、参戦
H37,マダタタカエル,ハルマ,,,,,マダタタカエル,8魔星モレク、参戦
H38,ヒックリカエル,ハルマ,,,,,ヒックリカエル,8魔星モレク、参戦
H39,サガシエル,ハルマ,,,,,サガシエル,エピローグ
H40,ラジエル,ハルマ,TRUE,,,,ラジエル,エピローグ
